title,country,genres,language,writer_count,title_adaption,censor_rating,release_date,runtime,dvd_release_date,users_votes,comments,likes,overall_views,dislikes,ratings_imdb,ratings_tomatoes,ratings_metacritic,special_award,awards_win,awards_nomination,revenue_category
Jupiter Ascending ,"USA, Australia","Action, Adventure, Sci-Fi","English, Russian",2.0,False,PG-13,06-Feb-15,127 min,02-Jun-15,"1,66,120",,,,,5.3/10,27%,40/100,0,4,16,High
Koch ,USA,"Documentary, Biography, History",English,,False,Not Rated,08-Oct-12,100 min,26-Aug-13,291,0.0,0.0,318.0,0.0,6.2/10,89%,71/100,0,0,0,Low
Django Unchained ,USA,"Drama, Western","English, German, French, Italian",1.0,False,R,25-Dec-12,165 min,16-Apr-13,"12,12,833",,,,,8.4/10,86%,81/100,1,56,151,High
Control ,Hungary,"Comedy, Crime, Drama, Romance, Thriller",Hungarian,2.0,False,R,20-Nov-03,105 min,30-Aug-05,"22,667",5.0,53.0,33385.0,1.0,7.7/10,82%,72/100,0,19,5,Low
Savages ,USA,"Crime, Drama, Thriller",English,4.0,True,R,06-Jul-12,131 min,13-Nov-12,"1,15,648",710.0,3084.0,2565799.0,297.0,6.5/10,51%,59/100,0,0,6,High
Brokeback Mountain ,"USA, Canada","Drama, Romance","English, Spanish",3.0,True,R,13-Jan-06,134 min,04-Apr-06,"2,99,823",30.0,,72796.0,,7.7/10,87%,87/100,1,138,128,High
Lightning in a Bottle ,USA,"Documentary, Music",English,,False,PG-13,05-Aug-04,103 min,08-Mar-05,584,66.0,940.0,106975.0,18.0,7.6/10,87%,78/100,0,1,2,Low
Trespass ,"USA, Bulgaria","Crime, Drama, Thriller",English,1.0,False,R,21-Oct-11,91 min,01-Nov-11,"39,351",600.0,2129.0,2651315.0,294.0,5.3/10,10%,37/100,0,0,2,Low
Miss Minoes ,Netherlands,"Comedy, Family, Fantasy",Dutch,4.0,True,PG,06-Dec-01,86 min,31-May-05,"4,303",22.0,142.0,38369.0,6.0,6.9/10,64%,50/100,0,8,2,Low
Sunshine State ,USA,"Drama, Romance",English,1.0,False,PG-13,12-Jul-02,141 min,19-Nov-02,"3,535",1.0,12.0,4650.0,0.0,6.9/10,80%,69/100,0,7,3,Low
Far Out Isn't Far Enough: The Tomi Ungerer Story ,USA,Documentary,"English, French",1.0,False,Not Rated,19-Dec-12,98 min,21-Oct-13,294,10.0,145.0,25096.0,2.0,7.7/10,91%,73/100,0,6,3,Low
Machine Gun Preacher ,USA,"Action, Biography, Crime, Drama","English, Arabic, Acholi",1.0,False,R,02-Nov-11,129 min,05-Jun-12,"60,059",9.0,77.0,74910.0,1.0,6.8/10,27%,43/100,1,0,1,Low
Cry_Wolf ,USA,"Drama, Horror, Mystery, Thriller",English,2.0,False,PG-13,16-Sep-05,90 min,20-Dec-05,"24,866",6.0,133.0,29229.0,13.0,5.9/10,24%,39/100,0,0,0,High
Made ,USA,"Comedy, Crime, Drama, Thriller","English, French",1.0,False,R,31-Aug-01,95 min,27-Nov-01,"16,287",6.0,30.0,42340.0,2.0,6.4/10,71%,62/100,0,0,1,Low
Love in the Time of Cholera ,USA,"Drama, Romance",English,2.0,True,R,16-Nov-07,139 min,18-Mar-08,"21,225",150.0,696.0,630631.0,39.0,6.4/10,26%,43/100,1,0,3,Low
Date Night ,USA,"Comedy, Crime, Romance, Thriller","English, Hebrew",1.0,False,PG-13,09-Apr-10,88 min,10-Aug-10,"1,44,438",853.0,4595.0,4681785.0,201.0,6.3/10,66%,56/100,0,4,8,High
Top Five ,USA,"Comedy, Romance",English,1.0,False,R,12-Dec-14,102 min,17-Mar-15,"24,739",912.0,4539.0,3951972.0,388.0,6.4/10,86%,81/100,0,7,19,High
Beer for My Horses ,USA,"Action, Comedy, Crime",English,2.0,True,PG-13,08-Aug-08,86 min,11-Nov-08,"1,624",0.0,10.0,5079.0,0.0,4.9/10,0%,0,0,0,0,Low
Rob the Mob ,USA,"Crime, Drama",English,1.0,False,R,15-Mar-14,104 min,24-Jun-14,"10,177",48.0,350.0,366359.0,19.0,6.3/10,82%,63/100,0,0,0,Low
Out of the Furnace ,"UK, USA","Crime, Drama, Thriller",English,2.0,False,R,06-Dec-13,116 min,11-Mar-14,"98,904",1931.0,10595.0,5060008.0,435.0,6.8/10,53%,63/100,0,2,9,High
What to Expect When You're Expecting ,USA,"Comedy, Drama, Romance",English,3.0,True,PG-13,18-May-12,110 min,11-Sep-12,"65,775",0.0,21.0,34123.0,3.0,5.7/10,23%,41/100,0,0,12,High
"Sound of Thunder, A ","Czech Republic, UK, Germany, USA","Action, Adventure, Horror, Sci-Fi, Thriller","English, Mandarin",6.0,True,PG-13,02-Sep-05,101 min,28-Mar-06,"18,106",128.0,423.0,546503.0,69.0,4.2/10,6%,24/100,0,0,4,Low
"Da Vinci Code, The ","USA, Malta, France, UK","Mystery, Thriller","English, French, Latin, Spanish",2.0,True,PG-13,19-May-06,149 min,14-Nov-06,"3,71,042",,634.0,711150.0,77.0,6.6/10,24%,46/100,1,6,20,High
Honey ,USA,"Drama, Music, Romance",English,2.0,False,PG-13,05-Dec-03,94 min,23-Mar-04,"40,996",156.0,4179.0,1657881.0,152.0,5.3/10,21%,37/100,0,0,8,High
Cameraman: The Life and Work of Jack Cardiff ,UK,"Documentary, Biography",English,,False,NOT RATED,13-May-11,86 min,16-Aug-11,"1,006",7.0,94.0,27014.0,2.0,7.8/10,96%,71/100,0,0,0,Low
In the Land of Women ,USA,"Comedy, Drama, Romance",English,1.0,False,PG-13,20-Apr-07,97 min,30-Oct-07,"30,009",,,,,6.5/10,44%,47/100,0,0,0,High
Better Luck Tomorrow ,USA,"Crime, Drama, Romance",English,3.0,False,R,25-Apr-03,101 min,30-Sep-03,"8,589",106.0,176.0,145054.0,16.0,7.1/10,81%,67/100,0,1,2,Low
"Squid and the Whale, The ",USA,"Comedy, Drama",English,1.0,False,R,16-Dec-05,81 min,14-Mar-06,"69,310",75.0,500.0,427208.0,35.0,7.4/10,93%,82/100,1,23,47,High
Beautiful ,"USA, UK","Drama, Comedy",English,1.0,False,PG-13,29-Sep-00,112 min,20-Feb-01,"3,502",15.0,104.0,,16.0,5.5/10,16%,23/100,0,0,2,Low
Juwanna Mann ,USA,"Comedy, Drama, Romance, Sport",English,1.0,False,PG-13,21-Jun-02,91 min,19-Nov-02,"5,790",48.0,,78438.0,,4.6/10,10%,24/100,0,0,1,High
Come Out and Play ,Mexico,Horror,"English, Spanish",2.0,True,R,22-Mar-13,87 min,17-Jun-13,"2,926",284.0,544.0,520879.0,134.0,4.7/10,50%,44/100,0,0,1,Low
Pootie Tang ,USA,"Action, Adventure, Comedy, Musical",English,1.0,False,PG-13,29-Jun-01,81 min,27-Nov-01,"12,847",244.0,936.0,662638.0,89.0,5.2/10,27%,31/100,0,0,1,Low
Special Forces ,France,"Action, Drama, War","French, English",4.0,False,R,02-Nov-11,109 min,18-Feb-13,"16,901",254.0,408.0,759995.0,64.0,6.4/10,15%,37/100,0,0,1,Low
8: The Mormon Proposition ,USA,Documentary,English,1.0,False,R,24-Jan-10,80 min,13-Jul-10,"1,186",,,,,7.0/10,64%,55/100,0,2,0,Low
Virginia ,USA,Drama,English,1.0,False,R,18-May-12,111 min,,"1,821",14.0,231.0,185023.0,26.0,5.5/10,8%,33/100,0,0,0,Low
Is the Man Who Is Tall Happy? ,France,"Documentary, Animation",English,1.0,False,Not Rated,25-Nov-13,88 min,13-May-14,"3,125",85.0,2386.0,356713.0,33.0,7.1/10,92%,76/100,0,0,1,Low
Saving Grace ,UK,"Comedy, Crime","English, French",3.0,True,R,01-Sep-00,93 min,19-Dec-00,"16,777",,,,,6.9/10,63%,62/100,1,4,8,High
Scooby-Doo ,"USA, Australia","Adventure, Comedy, Family, Fantasy, Mystery",English,5.0,True,PG,14-Jun-02,86 min,08-Oct-02,"88,214",,1300.0,1288324.0,187.0,5.0/10,30%,35/100,0,5,14,High
Salt ,USA,"Action, Mystery, Thriller","English, Russian, Korean",1.0,False,PG-13,23-Jul-10,100 min,21-Dec-10,"2,76,990",0.0,15.0,36446.0,0.0,6.4/10,63%,65/100,1,4,15,High
Nobody's Fool ,USA,"Comedy, Drama, Romance",English,1.0,False,PG-13,07-Nov-86,107 min,25-Jan-05,694,2.0,16.0,4541.0,1.0,5.5/10,0%,0,0,0,0,Low
Rapt ,"France, Belgium","Drama, Thriller",French,1.0,False,Not Rated,18-Nov-09,125 min,06-Dec-11,"1,910",,,,,6.7/10,97%,71/100,0,0,5,Low
Man on Wire ,"UK, USA","Documentary, Biography","English, French",1.0,True,PG-13,29-Aug-08,94 min,09-Dec-08,"49,121",79.0,312.0,335811.0,18.0,7.8/10,100%,89/100,1,45,11,Low
District 13 ,France,"Action, Crime, Sci-Fi, Thriller","French, Spanish",2.0,False,R,02-Jun-06,84 min,05-Sep-06,"62,766",112.0,1210.0,1031363.0,86.0,7.2/10,80%,70/100,0,1,1,Low
Keeping Up with the Steins ,USA,Comedy,"English, Hebrew",1.0,False,PG-13,02-Jun-06,90 min,31-Oct-06,"2,911",17.0,68.0,73234.0,6.0,5.4/10,36%,57/100,0,0,2,Low
God Grew Tired of Us ,USA,Documentary,English,1.0,False,PG,12-Jan-07,89 min,14-Aug-07,"2,645",48.0,309.0,139022.0,9.0,7.9/10,91%,72/100,0,6,0,Low
"Knight's Tale, A ",USA,"Action, Adventure, Romance","English, French",1.0,False,PG-13,11-May-01,132 min,25-Sep-01,"1,57,759",216.0,2431.0,1299915.0,103.0,6.9/10,58%,56/100,0,4,10,High
Seed of Chucky ,"Romania, USA, UK","Comedy, Fantasy, Horror, Thriller","English, Japanese",2.0,True,R,12-Nov-04,87 min,07-Jun-05,"34,786",5.0,105.0,53709.0,9.0,4.9/10,33%,46/100,0,1,6,High
Sicko ,USA,"Documentary, Drama","English, French, Spanish, Russian",1.0,False,PG-13,03-Jul-07,123 min,06-Nov-07,"71,647",1135.0,2122.0,793212.0,149.0,8.0/10,92%,74/100,1,14,14,High
Babies ,France,Documentary,"English, Japanese, Mongolian",2.0,False,PG,07-May-10,79 min,28-Sep-10,"6,586",14.0,218.0,55611.0,9.0,7.1/10,68%,63/100,0,0,3,High
Mademoiselle Chambon ,France,"Drama, Romance",French,3.0,True,Not Rated,28-May-10,101 min,07-Dec-10,"2,456",5.0,22.0,22442.0,2.0,7.0/10,83%,82/100,0,3,3,Low
America the Beautiful 2: The Thin Commandments ,USA,Documentary,English,1.0,False,,12-Oct-11,100 min,,69,35.0,100.0,51861.0,15.0,6.7/10,30%,0,0,0,0,Low
White Oleander ,USA,Drama,"English, Russian",2.0,True,PG-13,11-Oct-02,109 min,11-Mar-03,"28,076",48.0,730.0,229652.0,29.0,7.2/10,69%,61/100,0,3,7,High
"Ant Bully, The ",USA,"Animation, Adventure, Comedy, Family, Fantasy",English,2.0,True,PG,28-Jul-06,88 min,28-Nov-06,"34,588",40.0,214.0,342994.0,34.0,5.8/10,62%,59/100,0,1,4,High
"International, The ","USA, Germany, UK, France","Action, Crime, Drama, Mystery, Thriller","English, Italian, French, Danish",1.0,False,R,13-Feb-09,118 min,09-Jun-09,"86,846",113.0,387.0,748467.0,63.0,6.5/10,58%,52/100,0,0,1,High
Chicken Little ,USA,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,11.0,True,G,04-Nov-05,81 min,21-Mar-06,"78,223",5.0,33.0,52056.0,6.0,5.8/10,37%,48/100,0,4,15,High
"Whale, The ",Canada,Documentary,English,,False,G,09-Sep-11,85 min,04-Dec-12,589,62.0,515.0,129667.0,6.0,8.1/10,81%,64/100,0,1,0,Low
"Dark Knight, The ","USA, UK","Action, Crime, Drama, Thriller","English, Mandarin",5.0,True,PG-13,18-Jul-08,152 min,09-Dec-08,"20,70,977",107.0,812.0,196945.0,17.0,9.0/10,94%,84/100,1,152,155,High
Mother of George ,"Nigeria, USA",Drama,"English, Yoruba",1.0,False,R,18-Jan-13,107 min,04-Feb-14,951,0.0,12.0,1962.0,0.0,6.4/10,93%,77/100,0,7,9,Low
Harry Potter and the Prisoner of Azkaban ,"UK, USA","Adventure, Family, Fantasy, Mystery",English,2.0,True,PG,04-Jun-04,142 min,22-Nov-04,"4,88,534",612.0,5764.0,1855320.0,159.0,7.9/10,90%,82/100,1,14,45,High
K-PAX ,"USA, Germany","Drama, Sci-Fi",English,2.0,True,PG-13,26-Oct-01,120 min,26-Mar-02,"1,67,348",2.0,26.0,21321.0,3.0,7.4/10,41%,49/100,0,0,3,High
Cirque du Soleil: Worlds Away ,USA,Fantasy,English,1.0,False,PG,21-Dec-12,91 min,12-Mar-13,"7,641",35.0,703.0,155019.0,35.0,6.8/10,45%,51/100,0,0,1,High
It Follows ,USA,"Horror, Mystery",English,1.0,False,R,13-Mar-15,100 min,14-Jul-15,"1,83,140",,,,,6.9/10,96%,83/100,0,24,41,High
"Bridge, The ","UK, USA","Documentary, Drama",English,1.0,False,R,16-Feb-07,94 min,16-Feb-07,"10,412",722.0,1611.0,1488787.0,129.0,7.3/10,67%,58/100,0,0,2,Low
Nine Queens ,Argentina,"Crime, Drama, Thriller",Spanish,1.0,False,R,31-Aug-00,114 min,01-Oct-02,"45,575",52.0,163.0,163435.0,13.0,7.9/10,92%,80/100,0,22,8,Low
3:10 to Yuma ,USA,"Action, Crime, Drama, Western","English, Chinese",4.0,True,R,07-Sep-07,122 min,08-Jan-08,"2,69,986",96.0,909.0,462709.0,48.0,7.7/10,89%,76/100,1,3,30,High
9 ,USA,"Animation, Action, Adventure, Sci-Fi",English,2.0,True,PG-13,09-Sep-09,79 min,29-Dec-09,"1,25,555",27.0,225.0,145812.0,10.0,7.1/10,57%,60/100,0,0,9,High
Take This Waltz ,"Canada, Spain, Japan","Comedy, Drama",English,1.0,False,R,06-Jul-12,116 min,23-Oct-12,"25,798",242.0,1008.0,640014.0,51.0,6.6/10,78%,68/100,0,3,18,Low
Rocky Balboa ,USA,"Drama, Sport","English, Spanish",2.0,True,PG,20-Dec-06,102 min,20-Mar-07,"1,90,901",11.0,81.0,8699.0,1.0,7.2/10,77%,63/100,0,0,3,High
Gerontophilia ,Canada,"Comedy, Romance","English, French",3.0,True,Unrated,26-Mar-14,82 min,08-Jun-15,"2,108",36.0,371.0,278021.0,46.0,6.1/10,46%,48/100,0,2,6,Low
"Round Up, The ","France, Germany, Hungary","Drama, History, War","French, German, Yiddish",1.0,False,Not Rated,10-Mar-10,115 min,,"7,612",46.0,36.0,87702.0,8.0,7.0/10,56%,49/100,0,1,0,Low
"Boy in the Striped Pajamas, The ","UK, USA","Drama, War","English, Spanish",2.0,True,PG-13,26-Nov-08,94 min,10-Mar-09,"1,70,518",85.0,243.0,181348.0,12.0,7.8/10,63%,55/100,0,7,7,High
"Railway Man, The ","Switzerland, UK, Australia","Biography, Drama, Romance, War","English, Japanese",3.0,True,R,23-May-14,116 min,12-Aug-14,"34,459",327.0,1540.0,986812.0,90.0,7.1/10,66%,59/100,0,7,20,Low
"Endurance: Shackleton's Legendary Antarctic Expedition, The ","USA, UK, Germany, Sweden","Documentary, History",English,3.0,True,G,21-Dec-01,97 min,02-Sep-03,"1,719",8.0,50.0,84489.0,7.0,7.9/10,95%,85/100,0,8,8,Low
"Wizard of Oz, The ",USA,"Adventure, Family, Fantasy, Musical",English,5.0,True,PG,25-Aug-39,102 min,19-Oct-99,"3,51,526",6.0,44.0,38177.0,2.0,8.0/10,98%,100/100,1,7,14,Low
Greenberg ,USA,"Comedy, Drama, Romance",English,3.0,True,R,26-Mar-10,107 min,13-Jul-10,"33,554",61.0,346.0,236026.0,23.0,6.1/10,76%,76/100,0,2,14,Low
Dreams of  a Life ,"UK, Ireland","Documentary, Biography, Drama",English,1.0,False,Not Rated,03-Aug-12,95 min,11-Dec-12,"2,806",401.0,1786.0,495400.0,36.0,6.8/10,74%,62/100,0,0,7,Low
"Dictator, The ",USA,Comedy,"English, Hebrew, Arabic",4.0,False,R,16-May-12,83 min,21-Aug-12,"2,51,336",10642.0,53571.0,20662613.0,3456.0,6.4/10,57%,58/100,0,1,1,High
You Don't Mess with the Zohan ,USA,Comedy,"English, Hebrew",3.0,False,PG-13,06-Jun-08,113 min,07-Oct-08,"1,77,745",191.0,1744.0,811740.0,129.0,5.5/10,37%,54/100,0,2,1,High
Dodgeball: A True Underdog Story ,"USA, Germany","Comedy, Sport","English, German",1.0,False,PG-13,18-Jun-04,92 min,07-Dec-04,"2,13,544",36.0,857.0,559132.0,63.0,6.7/10,70%,55/100,0,2,9,High
"Lives of Others, The ",Germany,"Drama, Thriller",German,1.0,False,R,30-Mar-07,137 min,21-Aug-07,"3,24,092",91.0,693.0,682289.0,57.0,8.4/10,92%,89/100,1,75,34,High
Happy People: A Year in the Taiga ,Germany,Documentary,"English, Russian",3.0,False,Not Rated,15-Nov-12,90 min,23-Apr-13,"7,121",,,,,7.8/10,87%,74/100,0,1,0,Low
"Invasion, The ","USA, Australia","Sci-Fi, Thriller","English, Russian",2.0,True,PG-13,17-Aug-07,99 min,29-Jan-08,"71,286",340.0,668.0,834623.0,42.0,5.9/10,19%,45/100,0,1,2,High
Ghost Town ,USA,"Comedy, Drama, Fantasy, Romance",English,2.0,False,PG-13,19-Sep-08,102 min,27-Dec-08,"65,912",,,,,6.7/10,85%,72/100,0,3,2,High
In Bloom ,"Georgia, Germany, France",Drama,Georgian,1.0,False,Not Rated,10-Jan-14,102 min,18-Nov-14,"6,026",0.0,13.0,20223.0,3.0,7.7/10,94%,72/100,0,29,7,Low
"Sacrament, The ",USA,"Horror, Thriller",English,1.0,False,R,01-May-14,99 min,19-Aug-14,"15,456",264.0,657.0,246601.0,60.0,6.1/10,64%,49/100,0,3,12,Low
Captain America: The Winter Soldier ,USA,"Action, Adventure, Sci-Fi, Thriller","English, French",4.0,True,PG-13,04-Apr-14,136 min,09-Sep-14,"6,65,807",1664.0,17216.0,2602540.0,230.0,7.8/10,90%,70/100,1,5,50,High
"East, The ","UK, USA","Adventure, Drama, Thriller","English, American Sign Language",2.0,False,PG-13,28-Jun-13,116 min,17-Sep-13,"46,849",365.0,1578.0,981525.0,89.0,6.8/10,75%,68/100,0,1,7,Low
Silver Linings Playbook ,USA,"Comedy, Drama, Romance",English,2.0,True,R,25-Dec-12,122 min,30-Apr-13,"6,21,539",,,,,7.7/10,92%,81/100,1,88,145,High
Kick-Ass ,"UK, USA","Action, Comedy",English,4.0,True,R,16-Apr-10,117 min,03-Aug-10,"4,97,819",3.0,133.0,103108.0,9.0,7.6/10,76%,66/100,0,19,61,High
Zenith ,USA,"Sci-Fi, Thriller",English,1.0,False,,01-Feb-11,93 min,14-Nov-11,818,0.0,11.0,6596.0,1.0,6.2/10,55%,0,0,0,1,Low
"Debut, The ",USA,"Comedy, Drama","English, Tagalog, Filipino",2.0,False,R,13-Aug-03,88 min,09-Sep-03,584,88.0,221.0,91583.0,9.0,6.6/10,74%,60/100,0,4,0,Low
"Sum of All Fears, The ","USA, Germany, Canada","Action, Drama, Thriller, War","English, Russian, Ukrainian, German, Arabic",3.0,True,PG-13,31-May-02,124 min,29-Oct-02,"96,809",160.0,359.0,590684.0,40.0,6.4/10,59%,45/100,0,2,4,High
Cairo Time ,"Canada, Ireland, Egypt","Drama, Romance","English, Arabic",1.0,False,PG,16-Oct-09,90 min,30-Nov-10,"5,987",227.0,648.0,501588.0,31.0,6.7/10,81%,67/100,0,2,2,Low
"Descendants, The ",USA,"Comedy, Drama",English,4.0,True,R,09-Dec-11,115 min,13-Mar-12,"2,23,367",,,,,7.3/10,89%,84/100,1,66,142,High
Hideaway ,France,Drama,French,2.0,True,Unrated,10-Sep-10,88 min,08-Nov-10,"2,397",,,,,6.4/10,86%,61/100,0,1,2,Low
Penguins of Madagascar ,USA,"Animation, Adventure, Comedy, Family, Sci-Fi","English, Italian, Mandarin",7.0,True,PG,26-Nov-14,92 min,17-Mar-15,"72,414",16.0,3517.0,1603850.0,233.0,6.7/10,73%,53/100,0,1,7,High
Silver City ,USA,"Comedy, Drama, Mystery, Thriller","English, Spanish",1.0,False,R,24-Sep-04,128 min,11-Jan-05,"3,678",1.0,4.0,4329.0,0.0,6.1/10,48%,47/100,0,1,1,Low
Waiting for Superman ,USA,Documentary,English,2.0,False,PG,29-Oct-10,111 min,15-Feb-11,"10,260",676.0,1161.0,725157.0,69.0,7.5/10,90%,81/100,0,16,28,High
Whatever Works ,"USA, France","Comedy, Romance",English,1.0,False,PG-13,03-Jul-09,93 min,27-Oct-09,"66,946",1.0,8.0,7494.0,1.0,7.2/10,49%,45/100,0,2,0,Low
Jonah Hex ,USA,"Action, Drama, Fantasy, Thriller, Western",English,7.0,True,PG-13,18-Jun-10,81 min,12-Oct-10,"51,925",5.0,42.0,58757.0,7.0,4.7/10,12%,33/100,0,1,4,High
Mr. Magorium's Wonder Emporium ,"USA, Canada","Comedy, Family, Fantasy",English,1.0,False,G,16-Nov-07,93 min,04-Mar-08,"40,222",14.0,157.0,94519.0,14.0,6.2/10,38%,48/100,0,0,3,High
Cave of Forgotten Dreams ,"Canada, USA, France, Germany, UK","Documentary, History","English, German, French",1.0,False,G,31-Aug-11,90 min,29-Nov-11,"13,981",51.0,743.0,363595.0,25.0,7.4/10,96%,86/100,0,11,20,Low
Heaven ,"UK, France, Italy, Germany, USA","Crime, Drama, Romance, Thriller","Italian, English",6.0,True,R,21-Feb-02,97 min,17-Jun-03,"22,185",18.0,93.0,121777.0,9.0,7.1/10,74%,68/100,0,6,7,Low
"Medallion, The ","Hong Kong, USA","Action, Comedy, Fantasy",English,6.0,True,PG-13,22-Aug-03,88 min,23-Dec-03,"36,344",53.0,464.0,427840.0,30.0,5.2/10,17%,38/100,0,0,2,High
Tyson ,"USA, France","Documentary, Biography, Sport",English,1.0,False,R,15-May-09,90 min,18-Aug-09,"11,670",56.0,167.0,174208.0,9.0,7.5/10,85%,83/100,0,1,10,Low
Cutie and the Boxer ,USA,"Documentary, Biography","English, Japanese",1.0,False,R,01-Nov-13,82 min,04-Feb-14,"4,302",66.0,1456.0,376581.0,23.0,7.2/10,95%,83/100,1,8,13,Low
"Fall, The ","USA, South Africa, India","Adventure, Drama, Fantasy","English, Romanian, Latin",4.0,True,R,30-May-08,117 min,09-Sep-08,"1,01,766",56.0,803.0,255964.0,16.0,7.9/10,61%,64/100,0,4,11,Low
Premonition ,USA,"Drama, Fantasy, Mystery, Thriller",English,1.0,False,PG-13,16-Mar-07,96 min,05-Jul-05,"69,436",73.0,428.0,367222.0,19.0,5.9/10,8%,29/100,0,0,2,High
Vicky Cristina Barcelona ,"Spain, USA","Comedy, Drama, Romance","English, Spanish",1.0,False,PG-13,15-Aug-08,96 min,27-Jan-09,"2,28,005",110.0,2544.0,1470278.0,148.0,7.1/10,81%,70/100,1,31,53,High
Clown ,"USA, Canada","Drama, Fantasy, Horror, Thriller",English,2.0,False,R,17-Jun-16,100 min,23-Aug-16,"19,676",641.0,2206.0,864061.0,149.0,5.7/10,48%,42/100,0,0,2,Low
G-Force ,USA,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,4.0,True,PG,24-Jul-09,88 min,15-Dec-09,"39,272",34.0,204.0,363166.0,29.0,5.1/10,22%,41/100,0,1,1,High
OKA! ,USA,Drama,"English, French",3.0,True,Not Rated,14-Oct-11,105 min,22-Oct-13,143,17.0,85.0,31592.0,6.0,5.6/10,71%,61/100,0,0,0,Low
Friday the 13th ,USA,"Horror, Mystery, Thriller","English, Ukrainian",6.0,True,R,13-Feb-09,97 min,16-Jun-09,"88,937",224.0,358.0,437210.0,35.0,5.6/10,25%,34/100,0,2,4,High
Two Brothers ,"France, UK","Adventure, Drama, Family","English, Thai, French",4.0,False,PG,25-Jun-04,109 min,21-Dec-04,"13,554",183.0,1665.0,439114.0,58.0,7.1/10,78%,63/100,0,2,2,High
Grown Ups ,USA,Comedy,"English, Spanish",2.0,False,PG-13,25-Jun-10,102 min,09-Nov-10,"2,10,307",0.0,37.0,51845.0,3.0,6.0/10,10%,30/100,0,3,4,High
Step Into Liquid ,USA,"Documentary, Sport",English,1.0,False,PG,29-Aug-03,88 min,20-Apr-04,"2,477",7.0,54.0,23337.0,5.0,7.5/10,81%,72/100,0,0,2,Low
Thérèse: The Story of Saint Thérèse of Lisieux ,USA,"Biography, Drama",English,2.0,True,PG,29-Oct-04,96 min,28-Feb-06,437,15.0,102.0,65015.0,3.0,6.5/10,11%,27/100,0,0,0,Low
Robot & Frank ,USA,"Comedy, Crime, Drama, Sci-Fi",English,1.0,True,PG-13,19-Sep-12,89 min,12-Feb-13,"59,287",4.0,54.0,36357.0,3.0,7.1/10,86%,67/100,0,2,6,Low
Zombieland ,USA,"Adventure, Comedy, Horror, Sci-Fi",English,2.0,False,R,02-Oct-09,88 min,02-Feb-10,"4,55,922",835.0,12024.0,3681239.0,610.0,7.6/10,90%,73/100,0,9,28,High
Away We Go ,"USA, UK","Comedy, Drama, Romance",English,2.0,False,R,26-Jun-09,98 min,29-Sep-09,"49,649",33.0,265.0,135282.0,14.0,7.1/10,68%,58/100,0,3,10,High
Never Again ,USA,"Comedy, Romance",English,1.0,False,R,11-Mar-01,98 min,28-Jan-03,737,17.0,60.0,15650.0,1.0,6.1/10,31%,30/100,0,0,1,Low
Enough ,USA,"Crime, Drama, Thriller",English,1.0,False,PG-13,24-May-02,115 min,08-Oct-02,"36,253",106.0,402.0,310107.0,29.0,5.7/10,22%,25/100,0,0,4,High
Carnage ,"France, Germany, Poland, Spain, USA","Comedy, Drama",English,4.0,True,R,18-Nov-11,80 min,20-Mar-12,"1,11,336",229.0,681.0,644820.0,109.0,7.2/10,71%,61/100,1,7,18,Low
Safe ,USA,"Action, Crime, Thriller","English, Mandarin, Russian",1.0,False,R,27-Apr-12,94 min,04-Sep-12,"96,534",0.0,31.0,57136.0,6.0,6.5/10,58%,55/100,0,0,2,High
Higher Ground ,USA,Drama,English,3.0,True,R,01-Mar-12,109 min,09-Jan-12,"2,870",0.0,5.0,13294.0,8.0,6.3/10,81%,74/100,0,1,7,Low
Better Living Through Chemistry ,"UK, USA","Comedy, Drama",English,2.0,False,Not Rated,14-Mar-14,91 min,15-Apr-14,"13,297",153.0,2496.0,1450422.0,153.0,6.3/10,22%,40/100,0,0,0,Low
Casino Royale ,"UK, Czech Republic, USA, Germany, Bahamas","Action, Adventure, Thriller","Serbian, German, Italian, English, French",4.0,True,PG-13,17-Nov-06,144 min,13-Mar-07,"5,39,349",401.0,5339.0,2006224.0,204.0,8.0/10,94%,80/100,1,26,44,High
Shrek ,USA,"Animation, Adventure, Comedy, Family, Fantasy",English,8.0,True,PG,18-May-01,90 min,02-Nov-01,"5,60,926",856.0,3957.0,4201772.0,851.0,7.9/10,88%,84/100,1,36,60,High
"Campaign, The ",USA,Comedy,English,5.0,True,R,10-Aug-12,85 min,30-Oct-12,"1,18,500",367.0,1390.0,1024670.0,77.0,6.1/10,66%,50/100,0,2,4,High
"Chronicles of Narnia: Prince Caspian, The ","USA, Poland, Slovenia, Czech Republic, UK","Action, Adventure, Family, Fantasy",English,4.0,True,PG,16-May-08,150 min,02-Dec-08,"1,79,320",8.0,174.0,115013.0,12.0,6.5/10,67%,62/100,0,2,20,High
People Like Us ,USA,"Comedy, Drama","English, Spanish",3.0,False,PG-13,29-Jun-12,114 min,02-Oct-12,"39,411",497.0,2334.0,2127349.0,235.0,7.1/10,53%,49/100,0,0,0,High
Tokyo! ,"France, Japan, South Korea, Germany","Comedy, Drama, Fantasy","Japanese, French, English",4.0,True,Unrated,16-Aug-08,112 min,30-Jun-09,"8,441",70.0,578.0,195794.0,16.0,7.1/10,76%,63/100,0,2,3,Low
